Site TA,Site & transect,Transect Point (m),Date,Time,Number of individuals measured,Mean Length (mm),Median Length (mm),Mean Width (mm),Median Width (mm),Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Comments
6,TA-6-8,12,2023-05-24,N/A,6.0,11.8,13.0,8.8,8.3,14.10,10.80,13.00,13.00,14.10,9.60,13.00,6.60,6.70,5.80,9.60,7.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"rocks, more limpets underneath rocks"
5,TA-5-3,10,2023-06-01,10:14:00 AM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,TA-5-3,20,2023-06-01,10:02:00 AM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,limpets under rock
5,TA-5-5,8,2023-06-01,11:08:00 AM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,no mobile life found
5,TA-5-5,6,2023-06-01,11:20:00 AM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,TA-5-7,5,2023-06-01,10:03:00 AM,10.0,8.0,7.7,5.6,5.5,7.40,4.50,8.00,6.50,8.30,6.70,11.30,7.20,6.50,4.00,7.20,5.10,7.40,5.10,7.20,5.50,8.30,5.50,8.30,6.00,
5,TA-5-7,10,2023-06-01,10:42:00 AM,10.0,9.5,8.5,7.5,6.6,21.50,16.60,8.30,6.40,8.70,7.60,8.00,7.00,5.50,5.00,9.60,6.60,9.00,6.60,8.30,6.00,7.30,6.10,9.00,7.00,
5,TA-5-8,11,2023-06-01,11:37:00 AM,6.0,5.9,5.8,4.4,4.5,5.60,4.00,7.40,5.50,7.00,5.50,5.00,3.30,6.00,5.00,4.10,3.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,TA-5-8,12,2023-06-01,11:53:00 AM,4.0,7.9,6.2,5.8,4.7,13.70,9.50,5.50,4.10,6.40,5.00,6.00,4.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-2,13,2023-06-02,11:19:00 AM,10.0,7.4,7.7,5.5,5.0,9.40,6.80,10.00,8.20,4.90,3.30,4.90,3.80,10.00,7.90,5.90,3.30,4.60,2.20,4.60,3.80,9.90,6.10,9.80,9.40,"ulva spp., giant acorn barnacle (balanus nubilus), balanus glandula, fucus distichus, blue mussels, lattia persona"
4,TA-4-2,23,2023-06-02,12:02:00 PM,3.0,7.3,7.2,5.4,5.6,8.30,6.40,6.30,5.60,7.20,4.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"ulva spp., fucus distichus, balanus glandula, balanus nubilus, blue mussels, magallana gigas, lottia persona"
4,TA-4-3,12,2023-06-02,11:09:00 AM,4.0,7.0,7.4,5.1,5.1,7.55,6.10,7.25,4.70,8.00,5.40,5.15,4.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,could only measure 4 limpets
4,TA-4-3,4,2023-06-02,N/A,10.0,8.6,8.7,6.6,6.3,9.65,7.50,7.35,5.70,8.80,6.10,8.40,6.55,9.40,7.65,8.60,6.20,9.10,6.30,5.70,5.40,10.60,8.30,8.10,6.20,
4,TA-4-4,12,2023-06-02,12:50:00 PM,1.0,8.2,8.2,7.5,7.5,8.20,7.50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-4,15,2023-06-02,12:37:00 PM,5.0,12.2,12.0,10.0,8.9,17.00,14.90,8.80,6.60,12.00,8.90,10.80,7.90,12.50,11.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"lottia persona, littorina spp., blue mussels, balamus spp. (glandula + nubilus, fucus distichus, ulva spp"
4,TA-4-5,15,2023-06-02,12:03:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-5,1,2023-06-02,12:10:00 PM,10.0,9.2,7.7,7.4,6.2,15.70,13.75,7.90,6.25,7.40,6.10,10.10,7.65,7.40,5.75,6.05,4.60,5.70,4.60,18.30,13.75,5.25,4.40,8.40,6.65,
3,TA-3-2,3,2023-06-06,3:18:00 PM,8.0,5.0,4.2,3.1,2.1,5.00,2.10,7.40,5.70,3.90,1.60,2.50,1.20,4.20,2.00,2.40,1.60,10.70,7.50,4.10,3.40,N/A,N/A,N/A,N/A,
3,TA-3-2,20,2023-06-06,3:02:00 PM,10.0,6.1,5.8,4.1,3.0,7.20,5.70,7.00,5.00,4.70,2.00,17.60,14.80,7.80,4.50,2.20,1.60,2.60,1.80,6.80,3.90,3.00,1.40,1.90,0.50,
3,TA-3-4,2,2023-06-06,2:12:00 PM,10.0,7.4,5.1,4.9,3.3,7.00,4.50,13.60,9.10,4.80,2.90,13.60,9.80,2.90,1.50,3.10,2.20,14.90,11.60,4.00,2.00,5.40,3.60,4.40,2.00,
3,TA-3-4,17,2023-06-06,1:41:00 PM,10.0,6.3,6.5,3.9,4.2,8.20,3.10,5.50,3.20,5.40,4.60,6.20,4.70,6.90,4.20,6.70,4.50,7.00,4.50,5.30,3.60,5.30,4.10,6.80,2.90,
3,TA-3-5,15,2023-06-06,1:59:00 PM,5.0,7.2,7.1,5.3,5.5,7.20,5.90,8.30,5.50,7.10,4.80,6.40,5.50,7.00,5.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,TA-3-5,24,2023-06-06,1:40:00 PM,6.0,6.4,5.8,4.8,4.8,8.70,5.90,4.30,3.30,8.30,5.50,6.10,4.80,5.40,4.80,5.40,4.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
3,TA-3-6,7,2023-06-06,2:45:00 PM,10.0,6.2,6.1,5.1,5.2,5.10,5.40,7.70,5.00,6.10,4.40,6.10,5.90,5.50,3.70,5.90,4.70,6.10,6.00,5.90,4.40,7.10,5.90,6.10,5.80,
3,TA-3-6,19,2023-06-06,2:35:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-2,15,2023-06-07,2:52:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,glass
2,TA-2-2,12,2023-06-07,3:05:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-3,12,2023-06-07,3:19:00 PM,3.0,7.5,7.1,5.1,4.7,8.70,5.90,7.10,4.70,6.60,4.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-3,8,2023-06-07,N/A,10.0,14.7,14.9,10.6,10.4,12.00,6.80,11.20,9.70,12.80,9.80,15.30,12.20,12.70,8.70,15.10,11.00,16.00,11.10,14.70,9.20,17.90,13.00,18.90,14.70,
2,TA-2-5,14,2023-06-07,2:45:00 PM,10.0,6.9,7.2,5.1,5.1,9.80,7.20,9.00,7.60,8.20,5.40,4.80,3.20,5.50,4.40,8.30,6.60,4.50,3.50,6.10,4.80,2.90,1.80,9.40,6.50,
2,TA-2-5,2,2023-06-07,2:59:00 PM,2.0,1.7,1.7,0.8,0.8,1.40,0.60,1.90,0.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-8,24,2023-06-07,2:03:00 PM,10.0,5.2,4.4,3.5,3.3,6.50,4.40,10.00,6.10,7.10,5.40,4.30,3.20,5.20,3.40,3.90,2.10,3.50,1.70,2.80,1.70,4.40,3.70,4.00,2.80,
2,TA-2-8,14,2023-06-07,2:19:00 PM,2.0,5.1,5.1,2.8,2.8,6.90,3.80,3.20,1.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-2,5,2023-06-30,9:29:00 AM,10.0,7.1,5.8,5.2,4.2,9.50,6.40,4.60,4.30,16.50,12.90,4.10,3.00,3.00,2.90,8.60,6.70,5.30,3.00,5.60,4.00,6.00,3.70,7.90,5.10,
1,TA-1-2,15,2023-06-30,9:54:00 AM,10.0,7.2,7.2,5.5,5.7,6.80,5.70,8.30,6.60,6.20,3.10,8.10,7.40,10.80,7.00,5.80,4.30,8.00,7.00,7.00,5.20,7.30,5.60,4.00,2.60,
1,TA-1-3,5,2023-06-30,10:22:00 AM,10.0,6.2,6.2,4.7,4.8,4.10,2.40,3.40,2.90,6.80,5.50,6.10,4.40,5.30,5.00,5.70,4.10,7.40,5.40,8.10,6.20,8.90,6.00,6.20,4.60,
1,TA-1-3,24,2023-06-30,10:52:00 AM,10.0,7.4,6.7,5.8,5.6,5.90,4.60,7.00,5.10,6.10,4.80,7.10,6.00,6.10,3.80,12.20,8.20,7.50,6.60,6.00,4.70,6.40,6.40,10.00,7.70,
1,TA-1-4,30,2023-06-30,10:23:00 AM,2.0,6.6,6.6,4.6,4.6,7.20,4.40,5.90,4.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-4,6,2023-06-30,10:38:00 AM,10.0,8.0,8.0,5.8,5.9,5.50,4.80,8.00,5.40,9.80,5.90,8.10,5.50,7.10,5.90,8.00,6.20,7.70,5.90,7.60,4.80,8.10,6.70,9.80,7.20,
1,TA-1-7,6,2023-06-30,9:47:00 AM,10.0,10.5,7.7,8.0,6.2,7.30,4.50,7.00,6.20,7.10,5.90,15.40,13.20,7.60,4.80,8.00,6.20,7.70,6.10,6.10,4.40,16.50,11.40,22.60,17.70,
1,TA-1-7,14,2023-06-30,9:27:00 AM,10.0,7.3,6.2,4.9,4.3,14.00,12.50,6.00,5.00,4.10,2.50,7.20,4.10,9.10,4.10,9.80,5.20,5.50,4.40,5.50,3.30,5.40,3.20,6.30,5.00,
